Link,Title,Description,Date
3dnews.ru/1080263/microsoft-nachala-razvyortivanie-pleera-iz-windows-11-v-windows-10,Microsoft начала распространять в Windows 10 медиаплеер из Windows 11 ,"Стало известно, что Microsoft приступила к развёртыванию обновлённого проигрывателя Windows Media Player, который стал доступен в тестовых сборках Windows 11 осенью прошлого года, в Windows 10. Он придёт на смену проигрывателю Groove Music, который не пользуется популярностью среди пользователей.",13.01.2023 15:43 
3dnews.ru/1080261/ustarevshie-prilogeniya-sberbanka-perestanut-rabotat,Устаревшие приложения «Сбербанка» перестанут работать на следующей неделе ,"Некоторые клиенты «Сбербанка» начали получать уведомления о том, что устаревшие версии приложений прекратят работу. В качестве альтернативы им предлагается перейти на веб-версию онлайн-банка, установить новое приложение самостоятельно или обратиться в отделение банка.",13.01.2023 15:23 
3dnews.ru/1080255/spacex-starship,"SpaceX показала корабль Starship на ракете Super Heavy, а Airbus сняла их из космоса ",Американская аэрокосмическая SpaceX ведёт подготовку к первому в истории орбитальному испытательному полёту корабля Starship. На этой неделе на стартовой площадке космодрома Starbase в Южном Техасе был установлен прототип сверхтяжёлой ракеты-носителя под названием Booster 7 с прототипом космического корабля Starship — Ship 24 (S24).,13.01.2023 14:32 
3dnews.ru/1080251/iz-zabroshennih-shaht-mogno-sdelat-gravitatsionnie-batarei-predlogili-uchyonie,Из заброшенных шахт учёные предложили сделать гравитационные аккумуляторы ,"Стволы заброшенных шахт могут стать основой для создания гравитационных аккумуляторов, считают учёные из австрийского Международного института прикладного системного анализа (IIASA). Шахты уже имеют необходимую для этого инфраструктуру и могут быть сравнительно легко приспособлены для нужд резервного хранения энергии. Это может быть актуально для таких стран, как США, Россия, Китай и Индия, где ресурсы добываются давно и в больших масштабах.",13.01.2023 13:27 
3dnews.ru/1080240/masshtabniy-kompyuterniy-sboy-v-sisteme-aviaupravleniya-ssha-eto-akt-sabotaga-pokazalo-predvaritelnoe-rassledovanie,Недавняя отмена всех авиарейсов в США произошла из-за повреждения всего одного файла ,"Федеральное управление гражданской авиации США (FAA) опубликовало заявление о предварительных результатах расследования компьютерного сбоя, который 11 января заставил отменить практически все вылеты гражданской авиации в стране. В сбое обвинили двух людей, действия которых умышленно или нет привели к повреждению файла с данными.",13.01.2023 10:55 
3dnews.ru/1080237/bazovaya-versiya-tesla-model-y-v-ssha-podeshevela-srazu-na-13-000,Базовая версия Tesla Model Y в США подешевела сразу на $13 000 ,"С весны прошлого года Tesla повышала цены свои электромобили чаще и сильнее обычного, но тогда Илон Маск (Elon Musk) пообещал откатить эти непопулярные изменения в случае нормализации ситуации с поставками чипов и материалов, используемых при производстве электромобилей и тяговых аккумуляторов для них. На этой неделе цена базовой версии Tesla Model Y опустилась сразу на $13 000.",13.01.2023 09:55 
3dnews.ru/1080236/pentagon-opublikoval-dolgogdanniy-doklad-2022-goda-posvyashchyonniy-nlo-amerikanskoe-pravitelstvo-vosprinimaet-informatsiyu-vpolne-seryozno,Пентагон опубликовал доклад по НЛО за 2022 год — власти США воспринимают информацию вполне серьёзно ,"Пентагон наконец опубликовал «Ежегодный доклад о неопознанных воздушных явлениях» за 2022 год — обнародованная в четверг Управлением национальной разведки информация рассекречена, но её опубликовали с задержкой в несколько месяцев, намного позже, чем планировалось.",13.01.2023 09:20 
3dnews.ru/1080232/google-i-nvidia-virazili-ozabochennost-pokupkoy-microsoft-kompanii-activision-prodemonstrirovav-solidarnost-s-sony,Google и NVIDIA выразили озабоченность по поводу покупки Activision Blizzard компанией Microsoft ,"Google и NVIDIA поддержали позицию Sony, выразив Федеральной комиссии по торговле (FTC) США озабоченность вероятной покупкой Microsoft игрового холдинга Activision Blizzard, подлив масла в огонь правительственного разбирательства, ставящего под вопрос сделку на сумму $69 млрд. Об этом сообщает Bloomberg со ссылкой на источники, «знакомые с ситуацией».",13.01.2023 08:43 
3dnews.ru/1080222/ek-water-blocks-vipustila-vodobloki-sgo-pryamogo-kontakta-s-kristallami-protsessorov-intel-alder-lake-i-raptor-lake,"EK Water Blocks выпустила водоблоки, которые устанавливаются на «голый» кристалл Intel Alder Lake и Raptor Lake ","Компания EK Water Blocks выпустила водоблоки EK-Quantum Velocity² Direct Die D-RGB для процессорного разъёма Intel LGA 1700. Новинки предназначены для организации системы жидкостного охлаждения с прямым контактом поверхности водоблока с кристаллом процессоров Intel Core 12-го поколения (Alder Lake) и 13-го поколения (Raptor Lake), что должно обеспечить максимально эффективное охлаждение.",12.01.2023 22:27 
3dnews.ru/1080221/okonchatelnye-sistemnye-trebovaniya-hogwarts-legacy-16-gbayt-ozu-v-minimalkakh-konfiguratsii-dlya-igry-na-ultrakh,"Окончательные системные требования Hogwarts Legacy: 16 Гбайт ОЗУ в «минималках», конфигурации для игры на «ультрах» ",Издательство Warner Bros. Games и разработчики из принадлежащей ему американской студии Avalanche Software уточнили и дополнили системные требования своей фэнтезийной ролевой игры Hogwarts Legacy.,12.01.2023 21:39 
